ID,Nombre
505,Capacidad de intercambio prevista (NTC) con Andorra horizonte semanal exportación
506,Capacidad de intercambio disponible (ATC) con Francia horizonte diario importación
507,Capacidad de intercambio disponible (ATC) con Francia horizonte diario exportación
510,Capacidad de intercambio prevista (NTC) con Francia horizonte mensual importación
511,Capacidad de intercambio prevista (NTC) con Portugal horizonte mensual importación
512,Capacidad de intercambio prevista (NTC) con Marruecos horizonte mensual importación
513,Capacidad de intercambio prevista (NTC) con Andorra horizonte mensual importación
514,Capacidad de intercambio prevista (NTC) con Francia horizonte mensual exportación
515,Capacidad de intercambio prevista (NTC) con Portugal horizonte mensual exportación
516,Capacidad de intercambio prevista (NTC) con Marruecos horizonte mensual exportación
517,Capacidad de intercambio prevista (NTC) con Andorra horizonte mensual exportación
518,Capacidad de intercambio prevista (NTC) con Francia horizonte anual importación
519,Capacidad de intercambio prevista (NTC) con Portugal horizonte anual importación
520,Capacidad de intercambio prevista (NTC) con Marruecos horizonte anual importación
521,Capacidad de intercambio prevista (NTC) con Andorra horizonte anual importación
522,Capacidad de intercambio prevista (NTC) con Francia horizonte anual exportación
523,Capacidad de intercambio prevista (NTC) con Portugal horizonte anual exportación
524,Capacidad de intercambio prevista (NTC) con Marruecos horizonte anual exportación
525,Capacidad de intercambio prevista (NTC) con Andorra horizonte anual exportación
526,Perfiles de consumo a efectos de facturación del PVPC Tarifa 2.0.A (peaje por defecto)
527,Perfiles de consumo a efectos de facturación del PVPC Tarifa 2.0.DHA (Eficiencia 2 periodos)
528,Perfiles de consumo a efectos de facturación del PVPC Tarifa 2.0.DHS (vehículo eléctrico)
529,Perfil final de consumo A (tarifa 2.0.A)
530,Perfil final de consumo B (tarifa 2.0.DHA)
531,Perfil final de consumo C (tarifa 3.0TD)
532,Perfil final de consumo D (tarifa 2.0.DHS)
533,Programa comercial en la interconexión con Francia importación
534,Programa comercial en la interconexión con Francia exportación
535,Programas balance transfronterizo con Francia importación
536,Programas balance transfronterizo con Francia exportación
537,Programa comercial en la interconexión con Portugal importación
538,Programa comercial en la interconexión con Portugal exportación
539,Programas balance transfronterizo con Portugal importación
540,Programas balance transfronterizo con Portugal exportación
541,Previsión de la producción eólica peninsular
542,Generación prevista Solar fotovoltaica
543,Generación prevista Solar térmica
544,Demanda prevista
545,Demanda programada
546,Generación T.Real hidráulica
547,Generación T.Real carbón
548,Generación T.Real fuel-gas
549,Generación T.Real nuclear
550,Generación T.Real C.Combinado
551,Generación T.Real eólica
552,Generación T.Real solar
553,Generación T.Real intercambios
554,Generación T.Real enlace balear
555,Resto generación T.Real
556,Saldo horario de interconexión con Francia importación telemedidas
557,Saldo horario de interconexión con Portugal importación telemedidas
558,Saldo horario de interconexión con Andorra importación telemedidas
559,Saldo horario de interconexión con Marruecos importación telemedidas
560,Saldo horario de interconexión con Francia exportación telemedidas
561,Saldo horario de interconexión con Portugal exportación telemedidas
562,Saldo horario de interconexión con Andorra exportación telemedidas
563,Saldo horario de interconexión con Marruecos exportación telemedidas
564,Programas de countertrading Francia importación
565,Programas de countertrading Francia exportación
566,Programas de countertrading Portugal importación
567,Programas de countertrading Portugal exportación
568,Posición Neta diaria Sistema Peninsular con Portugal y Francia importación
569,Posición Neta diaria Sistema Peninsular con Portugal y Francia exportación
570,Capacidad prevista en el enlace Península - Baleares
571,Programas horarios en el enlace Península - Baleares sentido Baleares-Península
572,Programas horarios en el enlace Península - Baleares sentido Península-Baleares
573,Precio medio de la demanda en los SNP por sistema
574,Precio medio de la generación en los SNP por sistema
578,Precio Mallorca-Menorca con enlace
579,Precio Mallorca-Menorca sin enlace
600,Precio mercado SPOT Diario
602,Energía asignada en Mercado SPOT Diario España
603,Previsión semanal de la demanda eléctrica peninsular
604,Previsión máxima mensual de la demanda eléctrica peninsular
605,Energía asignada en Mercado SPOT Intradiario sesión 1
606,Energía asignada en Mercado SPOT Intradiario sesión 2
607,Energía asignada en Mercado SPOT Intradiario sesión 3
608,Energía asignada en Mercado SPOT Intradiario sesión 4
609,Energía asignada en Mercado SPOT Intradiario sesión 5
610,Energía asignada en Mercado SPOT Intradiario sesión 6
611,Energía asignada en Mercado SPOT Intradiario sesión 7
612,Precio mercado SPOT Intradiario Sesión 1
613,Precio mercado SPOT Intradiario Sesión 2
614,Precio mercado SPOT Intradiario Sesión 3
615,Precio mercado SPOT Intradiario Sesión 4
616,Precio mercado SPOT Intradiario Sesión 5
617,Precio mercado SPOT Intradiario Sesión 6
618,Precio mercado SPOT Intradiario Sesión 7
619,Previsión mínima mensual de la demanda eléctrica peninsular
620,Previsión máxima anual de la demanda eléctrica peninsular
621,Previsión mínima anual de la demanda eléctrica peninsular
622,Margen generación disponible - máxima demanda prevista
623,Índice de llenado medio semanal de almacenamiento hidráulico
624,Demanda real máximo diario
625,Demanda real mínimo diario
626,Requerimientos Reserva de potencia adicional a subir
627,Asignación Reserva de potencia adicional a subir
628,Precio Reserva de potencia adicional a subir
630,Requerimientos reserva de regulación secundaria a subir
631,Requerimientos reserva de regulación secundaria a bajar
632,Asignación reserva de regulación secundaria a subir
633,Asignación reserva de regulación secundaria a bajar
634,Precio reserva de regulación secundaria a bajar
636,Energía Solución de Restricciones técnicas del mercado seguridad del intradiario sesión 1 subir
637,Energía Solución de Restricciones técnicas del mercado seguridad del intradiario sesión 2 subir
638,Energía Solución de Restricciones técnicas del mercado seguridad del intradiario sesión 3 subir
639,Energía Solución de Restricciones técnicas del mercado seguridad del intradiario sesión 4 subir
640,Energía Solución de Restricciones técnicas del mercado seguridad del intradiario sesión 5 subir
641,Energía Solución de Restricciones técnicas del mercado seguridad del intradiario sesión 6 subir
642,Energía Solución de Restricciones técnicas del mercado seguridad del intradiario sesión 7 subir
643,Energía Solución de Restricciones técnicas del mercado seguridad del intradiario sesión 1 bajar
644,Energía Solución de Restricciones técnicas del mercado seguridad del intradiario sesión 2 bajar
